anio,poblacion,biocapacidad percap,huella ecologica percap,tierra
1961,3091840000,3.15,2.28,0.7238095238095238
1962,3150419968,3.11,2.3,0.7395498392282958
1963,3211000064,3.05,2.35,0.7704918032786886
1964,3273979904,3.0,2.4,0.7999999999999999
1965,3339579904,2.95,2.43,0.823728813559322
1966,3407920128,2.92,2.49,0.8527397260273973
1967,3478769920,2.87,2.5,0.8710801393728222
1968,3551600128,2.82,2.55,0.9042553191489362
1969,3625679872,2.77,2.6,0.9386281588447654
1970,3700440064,2.72,2.7,0.9926470588235294
1971,3775759872,2.69,2.73,1.0148698884758365
1972,3851650048,2.62,2.75,1.049618320610687
1973,3927780096,2.6,2.84,1.0923076923076922
1974,4003790080,2.54,2.76,1.0866141732283463
1975,4079480064,2.5,2.7,1.08
1976,4154670080,2.46,2.77,1.1260162601626016
1977,4229509888,2.42,2.78,1.1487603305785123
1978,4304529920,2.41,2.8,1.1618257261410787
1979,4380510208,2.36,2.82,1.194915254237288
1980,4457999872,2.32,2.72,1.1724137931034484
1981,4536999936,2.3,2.64,1.1478260869565218
1982,4617390080,2.28,2.58,1.1315789473684212
1983,4699570176,2.23,2.53,1.1345291479820627
1984,4784010240,2.23,2.59,1.1614349775784754
1985,4870920192,2.2,2.58,1.1727272727272726
1986,4960569856,2.17,2.58,1.1889400921658988
1987,5052519936,2.14,2.6,1.2149532710280373
1988,5145430016,2.08,2.61,1.2548076923076923
1989,5237440000,2.07,2.63,1.2705314009661837
1990,5327229952,2.06,2.63,1.2766990291262137
1991,5414289920,2.01,2.57,1.2786069651741294
1992,5498919936,2.01,2.55,1.2686567164179106
1993,5581599744,1.97,2.51,1.2741116751269037
1994,5663150080,1.96,2.51,1.280612244897959
1995,5744209920,1.92,2.52,1.3125
1996,5824889856,1.92,2.54,1.3229166666666667
1997,5905050112,1.9,2.54,1.336842105263158
1998,5984790016,1.89,2.51,1.328042328042328
1999,6064240128,1.87,2.49,1.3315508021390374
2000,6143490048,1.84,2.51,1.3641304347826084
2001,6222629888,1.83,2.51,1.3715846994535517
2002,6301770240,1.81,2.51,1.3867403314917126
2003,6381179904,1.79,2.57,1.435754189944134
2004,6461159936,1.78,2.66,1.4943820224719102
2005,6541910016,1.76,2.7,1.5340909090909092
2006,6623519744,1.74,2.74,1.574712643678161
2007,6705950208,1.73,2.78,1.606936416184971
2008,6789089792,1.73,2.77,1.6011560693641618
2009,6872770048,1.7,2.69,1.5823529411764703
2010,6956819968,1.69,2.81,1.6627218934911243
2011,7041189888,1.68,2.84,1.6904761904761905
2012,7125830144,1.64,2.78,1.695121951219512
2013,7210579968,1.65,2.81,1.7030303030303031
2014,7295289856,1.64,2.77,1.6890243902439026
2015,7379800064,1.62,2.73,1.6851851851851851
2016,7464019968,1.61,2.69,1.670807453416149
2017,7547859968,1.61,2.76,1.714285714285714
2018,7631090176,1.58,2.77,1.7531645569620251
2019,7674314922,1.56,2.73,1.75
2020,7756041003,1.61,2.48,1.5403726708074532
2021,7851163856,1.51,2.7,1.7880794701986755
2022,7948118521,1.52,2.73,1.7960526315789471
