id,anio,N2O,SF6,CO2,CH4
1,1961,,,317.64,
2,1962,,,318.45,
3,1963,,,318.99,
4,1964,,,319.62,
5,1965,,,320.04,
6,1966,,,321.37,
7,1967,,,322.18,
8,1968,,,323.05,
9,1969,,,324.62,
10,1970,,,325.68,
11,1971,,,326.32,
12,1972,,,327.46,
13,1973,,,329.68,
14,1974,,,330.19,
15,1975,,,331.12,
16,1976,,,332.03,
17,1977,,,333.84,
18,1978,,,335.41,
19,1979,,,336.84,
20,1980,,,338.76,
21,1981,,,340.12,
22,1982,,,341.48,
23,1983,,,343.15,
24,1984,,,344.85,1644.69
25,1985,,,346.35,1657.28
26,1986,,,347.61,1670.08
27,1987,,,349.31,1682.71
28,1988,,,351.69,1693.19
29,1989,,,353.2,1704.54
30,1990,,,354.45,1714.42
31,1991,,,355.7,1724.84
32,1992,,,356.54,1735.51
33,1993,,,357.21,1736.49
34,1994,,,358.96,1742.06
35,1995,,,360.97,1748.8
36,1996,,,362.74,1751.46
37,1997,,,363.88,1754.54
38,1998,,4.21,366.84,1765.54
39,1999,,4.38,368.54,1772.39
40,2000,,4.58,369.71,1773.37
41,2001,316.36,4.78,371.32,1771.24
42,2002,316.94,4.98,373.45,1772.69
43,2003,317.63,5.23,375.98,1777.31
44,2004,318.26,5.45,377.7,1777.03
45,2005,318.91,5.67,379.98,1774.14
46,2006,319.82,5.91,382.09,1774.93
47,2007,320.44,6.18,384.02,1781.39
48,2008,321.5,6.46,385.83,1787.0
49,2009,322.27,6.75,387.64,1793.54
50,2010,323.19,7.04,390.1,1798.89
51,2011,324.21,7.3,391.85,1803.11
52,2012,325.05,7.6,394.06,1808.03
53,2013,325.94,7.91,396.74,1813.4
54,2014,327.08,8.25,398.81,1822.61
55,2015,328.17,8.58,401.01,1834.25
56,2016,328.95,8.91,404.41,1843.12
57,2017,329.74,9.26,406.76,1849.67
58,2018,330.9,9.6,408.72,1857.31
59,2019,331.88,9.94,411.66,1866.59
60,2020,333.03,10.27,414.24,1878.93
61,2021,334.31,10.63,416.45,1895.32
